"Story","Title","Result","Date","Stability","Duration (s)"
"Pagina de inicio de Automation Practice","Registro en your logo","SUCCESS","2020-10-06T18:20:32.037-05:00[America/Bogota]","0.0","52.71"
"Pagina de inicio de Automation Practice","Registro en your logo con correo existente","SUCCESS","2020-10-06T18:21:24.77-05:00[America/Bogota]","0.0","19.58"
